[tssadm@localhost bin]$ ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Dec18 ?        00:00:01 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root         2     0  0 Dec18 ?        00:00:00 [kthreadd]
root         3     2  0 Dec18 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 Dec18 ?        00:00:00 [kworker/0:0H]
root         7     2  0 Dec18 ?        00:00:00 [migration/0]
root         8     2  0 Dec18 ?        00:00:00 [rcu_bh]
root         9     2  0 Dec18 ?        00:00:00 [rcu_sched]
root        10     2  0 Dec18 ?        00:00:00 [lru-add-drain]
root        11     2  0 Dec18 ?        00:00:00 [watchdog/0]
root        12     2  0 Dec18 ?        00:00:00 [watchdog/1]
root        13     2  0 Dec18 ?        00:00:00 [migration/1]
root        14     2  0 Dec18 ?        00:00:00 [ksoftirqd/1]
root        15     2  0 Dec18 ?        00:00:00 [kworker/1:0]
root        16     2  0 Dec18 ?        00:00:00 [kworker/1:0H]
root        17     2  0 Dec18 ?        00:00:00 [watchdog/2]
root        18     2  0 Dec18 ?        00:00:00 [migration/2]
root        19     2  0 Dec18 ?        00:00:00 [ksoftirqd/2]
root        21     2  0 Dec18 ?        00:00:00 [kworker/2:0H]
root        22     2  0 Dec18 ?        00:00:00 [watchdog/3]
root        23     2  0 Dec18 ?        00:00:00 [migration/3]
root        24     2  0 Dec18 ?        00:00:00 [ksoftirqd/3]
root        26     2  0 Dec18 ?        00:00:00 [kworker/3:0H]
root        27     2  0 Dec18 ?        00:00:00 [watchdog/4]
root        28     2  0 Dec18 ?        00:00:00 [migration/4]
root        29     2  0 Dec18 ?        00:00:00 [ksoftirqd/4]
root        30     2  0 Dec18 ?        00:00:00 [kworker/4:0]
root        31     2  0 Dec18 ?        00:00:00 [kworker/4:0H]
root        32     2  0 Dec18 ?        00:00:00 [watchdog/5]
root        33     2  0 Dec18 ?        00:00:00 [migration/5]
root        34     2  0 Dec18 ?        00:00:00 [ksoftirqd/5]
root        35     2  0 Dec18 ?        00:00:00 [kworker/5:0]
root        36     2  0 Dec18 ?        00:00:00 [kworker/5:0H]
root        37     2  0 Dec18 ?        00:00:00 [watchdog/6]
root        38     2  0 Dec18 ?        00:00:00 [migration/6]
root        39     2  0 Dec18 ?        00:00:00 [ksoftirqd/6]
root        40     2  0 Dec18 ?        00:00:00 [kworker/6:0]
root        41     2  0 Dec18 ?        00:00:00 [kworker/6:0H]
root        42     2  0 Dec18 ?        00:00:00 [watchdog/7]
root        43     2  0 Dec18 ?        00:00:00 [migration/7]
root        44     2  0 Dec18 ?        00:00:00 [ksoftirqd/7]
root        46     2  0 Dec18 ?        00:00:00 [kworker/7:0H]
root        48     2  0 Dec18 ?        00:00:00 [kdevtmpfs]
root        49     2  0 Dec18 ?        00:00:00 [netns]
root        50     2  0 Dec18 ?        00:00:00 [khungtaskd]
root        51     2  0 Dec18 ?        00:00:00 [writeback]
root        52     2  0 Dec18 ?        00:00:00 [kintegrityd]
root        53     2  0 Dec18 ?        00:00:00 [bioset]
root        54     2  0 Dec18 ?        00:00:00 [bioset]
root        55     2  0 Dec18 ?        00:00:00 [bioset]
root        56     2  0 Dec18 ?        00:00:00 [kblockd]
root        57     2  0 Dec18 ?        00:00:00 [md]
root        58     2  0 Dec18 ?        00:00:00 [edac-poller]
root        59     2  0 Dec18 ?        00:00:00 [watchdogd]
root        65     2  0 Dec18 ?        00:00:00 [kswapd0]
root        66     2  0 Dec18 ?        00:00:00 [ksmd]
root        67     2  0 Dec18 ?        00:00:00 [khugepaged]
root        68     2  0 Dec18 ?        00:00:00 [crypto]
root        76     2  0 Dec18 ?        00:00:00 [kworker/2:1]
root        77     2  0 Dec18 ?        00:00:00 [kthrotld]
root        81     2  0 Dec18 ?        00:00:00 [kmpath_rdacd]
root        82     2  0 Dec18 ?        00:00:00 [kaluad]
root        83     2  0 Dec18 ?        00:00:00 [kpsmoused]
root        84     2  0 Dec18 ?        00:00:00 [kworker/0:2]
root        85     2  0 Dec18 ?        00:00:00 [ipv6_addrconf]
root        98     2  0 Dec18 ?        00:00:00 [deferwq]
root       101     2  0 Dec18 ?        00:00:00 [kworker/5:1]
root       102     2  0 Dec18 ?        00:00:00 [kworker/1:1]
root       130     2  0 Dec18 ?        00:00:00 [kworker/7:1]
root       138     2  0 Dec18 ?        00:00:00 [kauditd]
root       498     2  0 Dec18 ?        00:00:00 [kworker/6:1]
root       603     1  3 Dec18 ?        00:00:43 @usr/sbin/plymouthd --mode=boot --pid-file=/var/run/plymouth/pid --attach-to-
root      1273     2  0 Dec18 ?        00:00:00 [ata_sff]
root      2255     2  0 Dec18 ?        00:00:00 [scsi_eh_0]
root      2256     2  0 Dec18 ?        00:00:00 [scsi_tmf_0]
root      2257     2  0 Dec18 ?        00:00:00 [scsi_eh_1]
